Image name,Predicted Class label
A0445,Bleeding
A0446,Non-Bleeding
A0447,Non-Bleeding
A0448,Non-Bleeding
A0449,Non-Bleeding
A0450,Bleeding
A0451,Non-Bleeding
A0452,Non-Bleeding
A0453,Non-Bleeding
A0454,Bleeding
A0455,Bleeding
A0456,Bleeding
A0457,Bleeding
A0458,Non-Bleeding
A0459,Bleeding
A0460,Bleeding
A0461,Bleeding
A0462,Bleeding
A0463,Bleeding
A0464,Bleeding
A0465,Bleeding
A0466,Bleeding
A0467,Bleeding
A0468,Bleeding
A0469,Non-Bleeding
A0470,Non-Bleeding
A0471,Non-Bleeding
A0472,Non-Bleeding
A0473,Non-Bleeding
A0474,Non-Bleeding
A0475,Non-Bleeding
A0476,Non-Bleeding
A0477,Bleeding
A0478,Bleeding
A0479,Bleeding
A0480,Bleeding
A0481,Bleeding
A0482,Bleeding
A0483,Non-Bleeding
A0484,Non-Bleeding
A0485,Non-Bleeding
A0486,Bleeding
A0487,Bleeding
A0488,Bleeding
A0489,Bleeding
A0490,Bleeding
A0491,Bleeding
A0492,Bleeding
A0493,Bleeding
A0494,Bleeding
A0495,Bleeding
A0496,Non-Bleeding
A0497,Bleeding
A0498,Bleeding
A0499,Non-Bleeding
A0500,Non-Bleeding
A0501,Bleeding
A0502,Bleeding
A0503,Bleeding
A0504,Bleeding
A0505,Non-Bleeding
A0506,Bleeding
A0507,Bleeding
A0508,Bleeding
A0509,Non-Bleeding
A0510,Bleeding
A0511,Bleeding
A0512,Bleeding
A0513,Bleeding
A0514,Bleeding
A0515,Bleeding
A0516,Non-Bleeding
A0517,Non-Bleeding
A0518,Bleeding
A0519,Bleeding
A0520,Bleeding
A0521,Non-Bleeding
A0522,Bleeding
A0523,Bleeding
A0524,Bleeding
A0525,Bleeding
A0526,Bleeding
A0527,Non-Bleeding
A0528,Non-Bleeding
A0529,Non-Bleeding
A0530,Bleeding
A0531,Bleeding
A0532,Bleeding
A0533,Bleeding
A0534,Bleeding
A0535,Bleeding
A0536,Bleeding
A0537,Non-Bleeding
A0538,Bleeding
A0539,Bleeding
A0540,Bleeding
A0541,Bleeding
A0542,Bleeding
A0543,Bleeding
A0544,Bleeding
A0545,Bleeding
A0546,Bleeding
A0547,Bleeding
A0548,Bleeding
A0549,Bleeding
A0550,Bleeding
A0551,Bleeding
A0552,Bleeding
A0553,Bleeding
A0554,Bleeding
A0555,Bleeding
A0556,Bleeding
A0557,Bleeding
A0558,Bleeding
A0559,Bleeding
A0560,Bleeding
A0561,Bleeding
A0562,Bleeding
A0563,Bleeding
A0564,Bleeding
